E0_band10,E0_band11
1266.225433751140,1249.739336816690
1266.223553892580,1249.744000590190
1266.221669289530,1249.748705946850
1266.219779304130,1249.753469955910
1266.217886325050,1249.758275508320
1266.215987498620,1249.763135546960
1266.214085953050,1249.768045875840
1266.212178097180,1249.773006697440
1266.210268596560,1249.778018053770
1266.208353021670,1249.783076264860
1266.206435085970,1249.788194234100
1266.204512365420,1249.793354230270
1266.202588392020,1249.798574256470
1266.200659808890,1249.803836438300
1266.198729527440,1249.809158825350
1266.196794959470,1249.814519143350
1266.194859066840,1249.819948073220
1266.192919149410,1249.825411412190
1266.190977469420,1249.830944188440
1266.189033503240,1249.836510924800
1266.187087430980,1249.842142751460
1266.185139382070,1249.847817649980
1266.183188636420,1249.853553311530
1266.181237528340,1249.859332267210
1266.179283693680,1249.865168450720
1266.177330012830,1249.871056815330
1266.175373654260,1249.876997501680
1266.173417822070,1249.882990514320
1266.171458799260,1249.889035621190
1266.169501849210,1249.895133189190
1266.167541595690,1249.901279057040
